"Seq,cal","Seq,all",L,L/Hs,a,"a1,mea","a1,mean","a1,cal","a1/Hs,cal","a1,all","a1/Hs,all",a1/AD50,a1/AD90,a1/AD95,"hu,mea","hu,cal",qs,ys,ls,ys/Hs,ls/Hs
0.029280918,0.02,1.5,20.00680041,0.12,0.09,,,0,0.09,1.200408025,6.346519992,3.972282297,3.972282297,,,0,0.207,0.425,2.760938456,5.668593449
0.029280918,0.0301,1.5,20.00680041,0.12,0.07485,,,0,0.07485,0.99833934,5.278189126,3.303614777,3.303614777,,,0,0.202,0.45,2.694249122,6.002040123
0.019876144,0.004,1.5,14.80180038,0.12,0.114,,,0,0.114,1.124936829,8.038925323,5.031557576,5.031557576,,,0,0.276,0.65,2.723531269,6.414113496
0.019876144,0.0096,1.5,14.80180038,0.12,0.1056,,,0,0.1056,1.042046746,7.446583457,4.660811228,4.660811228,,,0,0.2633,0.65,2.598209359,6.414113496
0.018291019,0,0.75,6.937631968,0.0465,0.0465,,,0,0.0465,0.430133182,3.279035329,2.052345853,2.052345853,,,0,0.172,0.75,1.591030265,6.937631968
0.021568085,0,0.75,7.886415794,0.0465,0.0465,,,0,0.0465,0.488957779,3.279035329,2.052345853,2.052345853,,,0,0.138,0.7,1.451100506,7.360654741
0.033039775,0.0387,0.75,10.98864014,0.0465,0.017475,,,0,0.017475,0.256035315,1.232282632,0.771284813,0.771284813,,,0,0.063,0.35,0.923045771,5.128032064
0.040460698,0,0.75,12.86428083,0.0465,0.0465,,,0,0.0465,0.797585412,3.279035329,2.052345853,2.052345853,,,0,0.037,0.25,0.634637854,4.288093611
0.025892457,0,0.75,9.090869638,0.0465,0.0465,,,0,0.0465,0.563633918,3.279035329,2.052345853,2.052345853,,,0,0.121,0.55,1.466660302,6.666637734
0.026114235,0,0.75,9.151374872,0.06,0.06,,,0,0.06,0.73210999,4.231013328,2.648188198,2.648188198,,,0,0.156,0.575,1.903485973,7.016054068
0.033039775,0,0.75,10.98864014,0.06,0.06,,,0,0.06,0.879091211,4.231013328,2.648188198,2.648188198,,,0,0.147,0.475,2.153773467,6.959472087
0.021568085,0,0.75,7.886415794,0.06,0.06,,,0,0.06,0.630913264,4.231013328,2.648188198,2.648188198,,,0,0.165,0.675,1.735011475,7.097774215
0.018291019,0,0.75,6.937631968,0.06,0.06,,,0,0.06,0.555010557,4.231013328,2.648188198,2.648188198,,,0,0.173,0.75,1.600280441,6.937631968
0.029280918,0,0.75,10.0034002,0.06,0.06,,,0,0.06,0.800272016,4.231013328,2.648188198,2.648188198,,,0,0.139,0.525,1.853963505,7.002380143
0.053302018,0.056,0.75,15.94019052,0.06,0.018,,,0,0.018,0.382564573,1.269303998,0.794456459,0.794456459,,,0,0.061,0.275,1.296468829,5.844736525
0.030479173,0.036,0.75,10.32037225,0.03375,0.00675,,,0,0.00675,0.09288335,0.475988999,0.297921172,0.297921172,,,0,0.047,0.3,0.646743328,4.128148899
0.022660222,0.0315,0.75,8.19530286,0.03375,0.010125,,,0,0.010125,0.110636589,0.713983499,0.446881758,0.446881758,,,0,0.061,0.35,0.666551299,3.824474668
0.020191224,0.0099,0.75,7.491989619,0.03375,0.026325,,,0,0.026325,0.262968836,1.856357098,1.161892572,1.161892572,,,0,0.063,0.375,0.629327128,3.745994809
0.026114235,0.0273,0.75,9.151374872,0.03375,0.013275,,,0,0.013275,0.161979335,0.936111699,0.585911639,0.585911639,,,0,0.051,0.325,0.622293491,3.965595778
0.018137205,0,0.75,6.892213552,0.03375,0.03375,,,0,0.03375,0.31014961,2.379944997,1.489605861,1.489605861,,,0,0.077,0.55,0.707600591,5.054289938
0.018291019,0,0.75,6.937631968,0.0465,0.0465,,,0,0.0465,0.430133182,3.279035329,2.052345853,2.052345853,,,0,0.16,0.75,1.480028153,6.937631968
0.021568085,0,0.75,7.886415794,0.0465,0.0465,,,0,0.0465,0.488957779,3.279035329,2.052345853,2.052345853,,,0,0.126,0.6,1.324917853,6.309132635
0.033039775,0.0363,0.75,10.98864014,0.0465,0.019275,,,0,0.019275,0.282408052,1.359213032,0.850730459,0.850730459,,,0,0.064,0.35,0.937697292,5.128032064
0.040460698,0.05,0.75,12.86428083,0.0465,0.009,,,0,0.009,0.15437137,0.634651999,0.39722823,0.39722823,,,0,0.047,0.3,0.806161599,5.145712333
0.025892457,0,0.75,9.090869638,0.0465,0.0465,,,0,0.0465,0.563633918,3.279035329,2.052345853,2.052345853,,,0,0.115,0.5,1.393933344,6.060579758
0.026114235,0,0.75,9.151374872,0.06,0.06,,,0,0.06,0.73210999,4.231013328,2.648188198,2.648188198,,,0,0.152,0.55,1.854678641,6.711008239
0.033039775,0,0.75,10.98864014,0.06,0.06,,,0,0.06,0.879091211,4.231013328,2.648188198,2.648188198,,,0,0.117,0.425,1.714227861,6.226896078
0.021568085,0,0.75,7.886415794,0.06,0.06,,,0,0.06,0.630913264,4.231013328,2.648188198,2.648188198,,,0,0.165,0.65,1.735011475,6.834893688
0.018291019,0,0.75,6.937631968,0.06,0.06,,,0,0.06,0.555010557,4.231013328,2.648188198,2.648188198,,,0,0.202,0.75,1.868535543,6.937631968
0.029280918,0,0.75,10.0034002,0.06,0.06,,,0,0.06,0.800272016,4.231013328,2.648188198,2.648188198,,,0,0.123,0.45,1.640557634,6.002040123
0.053302018,0.056,0.75,15.94019052,0.06,0.018,,,0,0.018,0.382564573,1.269303998,0.794456459,0.794456459,,,0,0.059,0.3,1.253961654,6.376076209
0.030479173,0.036,0.75,10.32037225,0.03375,0.00675,,,0,0.00675,0.09288335,0.475988999,0.297921172,0.297921172,,,0,0.045,0.275,0.619222335,3.784136491
0.022660222,0.0315,0.75,8.19530286,0.03375,0.010125,,,0,0.010125,0.110636589,0.713983499,0.446881758,0.446881758,,,0,0.051,0.325,0.557280594,3.551297906
0.020191224,0.0099,0.75,7.491989619,0.03375,0.026325,,,0,0.026325,0.262968836,1.856357098,1.161892572,1.161892572,,,0,0.057,0.325,0.569391211,3.246528835
0.026114235,0.0244,0.75,9.151374872,0.03375,0.01545,,,0,0.01545,0.188518322,1.089485932,0.681908461,0.681908461,,,0,0.049,0.325,0.597889825,3.965595778
0.018137205,0,0.75,6.892213552,0.03375,0.03375,,,0,0.03375,0.31014961,2.379944997,1.489605861,1.489605861,,,0,0.067,0.475,0.615704411,4.365068583
0.018291019,0,0.5,4.625087978,0.031,0.031,,,0,0.031,0.286755455,2.186023553,1.368230569,1.368230569,,,0,0.07,0.5,0.647512317,4.625087978
0.021568085,0,0.5,5.257610529,0.031,0.031,,,0,0.031,0.325971853,2.186023553,1.368230569,1.368230569,,,0,0.072,0.475,0.757095916,4.994730003
0.033039775,0.0373,0.5,7.325760091,0.031,0.01235,,,0,0.01235,0.180946274,0.870883577,0.545085404,0.545085404,,,0,0.046,0.3,0.673969928,4.395456055
0.040460698,0.0211,0.5,8.576187221,0.031,0.02045,,,0,0.02045,0.350766057,1.442070376,0.902590811,0.902590811,,,0,0.041,0.25,0.703247352,4.288093611
0.025892457,0,0.5,6.060579758,0.03105,0.03105,,,0,0.03105,0.376362003,2.189549397,1.370437392,1.370437392,,,0,0.055,0.375,0.666663773,4.545434819
0.026114235,0,0.5,6.100916581,0.04,0.04,,,0,0.04,0.488073326,2.820675552,1.765458799,1.765458799,,,0,0.114,0.5,1.391008981,6.100916581
